Telescope setup name: Twinkle Exposure Time: 1.0000 s
magB; magV; magR; fwhm_x; fwhm_y; stdev_x; stdev_y 
+10.0000; +10.0000; +10.0000; +5.5000; +5.5000; +0.0095; +0.0096 
+10.0000; +10.0000; +10.0000; +6.0000; +6.0000; +0.0106; +0.0099 
+10.0000; +10.0000; +10.0000; +6.5000; +6.5000; +0.0103; +0.0116 
+10.0000; +10.0000; +10.0000; +7.0000; +7.0000; +0.0116; +0.0125 
+10.0000; +10.0000; +10.0000; +7.5000; +7.5000; +0.0145; +0.0136 
+10.0000; +10.0000; +10.0000; +8.0000; +8.0000; +0.0137; +0.0135 
+10.0000; +10.0000; +10.0000; +8.5000; +8.5000; +0.0132; +0.0140 
+10.0000; +10.0000; +10.0000; +9.0000; +9.0000; +0.0130; +0.0135 
+10.0000; +10.0000; +10.0000; +9.5000; +9.5000; +0.0136; +0.0141 
+10.0000; +10.0000; +10.0000; +10.0000; +10.0000; +0.0163; +0.0174 
+10.0000; +10.0000; +10.0000; +10.5000; +10.5000; +0.0168; +0.0154 
+10.0000; +10.0000; +10.0000; +11.0000; +11.0000; +0.0188; +0.0153 
+10.5000; +10.5000; +10.5000; +1.0000; +1.0000; +0.0108; +0.0108 
+10.5000; +10.5000; +10.5000; +1.5000; +1.5000; +0.0115; +0.0108 
+10.5000; +10.5000; +10.5000; +2.0000; +2.0000; +0.0105; +0.0108 
+10.5000; +10.5000; +10.5000; +2.5000; +2.5000; +0.0104; +0.0103 
+10.5000; +10.5000; +10.5000; +3.0000; +3.0000; +0.0119; +0.0117 
+10.5000; +10.5000; +10.5000; +3.5000; +3.5000; +0.0116; +0.0120 
+10.5000; +10.5000; +10.5000; +4.0000; +4.0000; +0.0127; +0.0108 
+10.5000; +10.5000; +10.5000; +4.5000; +4.5000; +0.0130; +0.0135 
+10.5000; +10.5000; +10.5000; +5.0000; +5.0000; +0.0148; +0.0131 
+10.5000; +10.5000; +10.5000; +5.5000; +5.5000; +0.0131; +0.0144 
+10.5000; +10.5000; +10.5000; +6.0000; +6.0000; +0.0138; +0.0148 
+10.5000; +10.5000; +10.5000; +6.5000; +6.5000; +0.0154; +0.0166 
+10.5000; +10.5000; +10.5000; +7.0000; +7.0000; +0.0179; +0.0184 
+10.5000; +10.5000; +10.5000; +7.5000; +7.5000; +0.0196; +0.0197 
+10.5000; +10.5000; +10.5000; +8.0000; +8.0000; +0.0200; +0.0216 
+10.5000; +10.5000; +10.5000; +8.5000; +8.5000; +0.0187; +0.0216 
+10.5000; +10.5000; +10.5000; +9.0000; +9.0000; +0.0191; +0.0192 
+10.5000; +10.5000; +10.5000; +9.5000; +9.5000; +0.0220; +0.0207 
+10.5000; +10.5000; +10.5000; +10.0000; +10.0000; +0.0236; +0.0216 
+10.5000; +10.5000; +10.5000; +10.5000; +10.5000; +0.0241; +0.0232 
+10.5000; +10.5000; +10.5000; +11.0000; +11.0000; +0.0218; +0.0261 
+11.0000; +11.0000; +11.0000; +1.0000; +1.0000; +0.0176; +0.0197 
+11.0000; +11.0000; +11.0000; +1.5000; +1.5000; +0.0164; +0.0189 
+11.0000; +11.0000; +11.0000; +2.0000; +2.0000; +0.0170; +0.0190 
+11.0000; +11.0000; +11.0000; +2.5000; +2.5000; +0.0185; +0.0172 
+11.0000; +11.0000; +11.0000; +3.0000; +3.0000; +0.0164; +0.0189 
+11.0000; +11.0000; +11.0000; +3.5000; +3.5000; +0.0182; +0.0189 
+11.0000; +11.0000; +11.0000; +4.0000; +4.0000; +0.0171; +0.0212 
+11.0000; +11.0000; +11.0000; +4.5000; +4.5000; +0.0198; +0.0209 
+11.0000; +11.0000; +11.0000; +5.0000; +5.0000; +0.0201; +0.0209 
+11.0000; +11.0000; +11.0000; +5.5000; +5.5000; +0.0179; +0.0230 
+11.0000; +11.0000; +11.0000; +6.0000; +6.0000; +0.0223; +0.0229 
+11.0000; +11.0000; +11.0000; +6.5000; +6.5000; +0.0212; +0.0230 
+11.0000; +11.0000; +11.0000; +7.0000; +7.0000; +0.0234; +0.0244 
+11.0000; +11.0000; +11.0000; +7.5000; +7.5000; +0.0256; +0.0254 
+11.0000; +11.0000; +11.0000; +8.0000; +8.0000; +0.0246; +0.0286 
+11.0000; +11.0000; +11.0000; +8.5000; +8.5000; +0.0274; +0.0289 
+11.0000; +11.0000; +11.0000; +9.0000; +9.0000; +0.0269; +0.0260 
+11.0000; +11.0000; +11.0000; +9.5000; +9.5000; +0.0300; +0.0294 
+11.0000; +11.0000; +11.0000; +10.0000; +10.0000; +0.0303; +0.0337 
+11.0000; +11.0000; +11.0000; +10.5000; +10.5000; +0.0298; +0.0353 
+11.0000; +11.0000; +11.0000; +11.0000; +11.0000; +0.0335; +0.0362 
+11.5000; +11.5000; +11.5000; +1.0000; +1.0000; +0.0277; +0.0313 
+11.5000; +11.5000; +11.5000; +1.5000; +1.5000; +0.0255; +0.0307 
+11.5000; +11.5000; +11.5000; +2.0000; +2.0000; +0.0258; +0.0291 
+11.5000; +11.5000; +11.5000; +2.5000; +2.5000; +0.0263; +0.0330 
+11.5000; +11.5000; +11.5000; +3.0000; +3.0000; +0.0316; +0.0323 
+11.5000; +11.5000; +11.5000; +3.5000; +3.5000; +0.0256; +0.0343 
+11.5000; +11.5000; +11.5000; +4.0000; +4.0000; +0.0271; +0.0316 
+11.5000; +11.5000; +11.5000; +4.5000; +4.5000; +0.0271; +0.0330 
+11.5000; +11.5000; +11.5000; +5.0000; +5.0000; +0.0278; +0.0366 
+11.5000; +11.5000; +11.5000; +5.5000; +5.5000; +0.0310; +0.0337 
+11.5000; +11.5000; +11.5000; +6.0000; +6.0000; +0.0312; +0.0340 
+11.5000; +11.5000; +11.5000; +6.5000; +6.5000; +0.0292; +0.0379 
+11.5000; +11.5000; +11.5000; +7.0000; +7.0000; +0.0342; +0.0411 
+11.5000; +11.5000; +11.5000; +7.5000; +7.5000; +0.0338; +0.0392 
+11.5000; +11.5000; +11.5000; +8.0000; +8.0000; +0.0413; +0.0362 
+11.5000; +11.5000; +11.5000; +8.5000; +8.5000; +0.0404; +0.0446 
+11.5000; +11.5000; +11.5000; +9.0000; +9.0000; +0.0367; +0.0409 
+11.5000; +11.5000; +11.5000; +9.5000; +9.5000; +0.0413; +0.0416 
+11.5000; +11.5000; +11.5000; +10.0000; +10.0000; +0.0439; +0.0476 
+11.5000; +11.5000; +11.5000; +10.5000; +10.5000; +0.0440; +0.0496 
+11.5000; +11.5000; +11.5000; +11.0000; +11.0000; +0.0459; +0.0469 
+12.0000; +12.0000; +12.0000; +1.0000; +1.0000; +0.0450; +0.0447 
+12.0000; +12.0000; +12.0000; +1.5000; +1.5000; +0.0439; +0.0458 
+12.0000; +12.0000; +12.0000; +2.0000; +2.0000; +0.0418; +0.0488 
+12.0000; +12.0000; +12.0000; +2.5000; +2.5000; +0.0425; +0.0466 
+12.0000; +12.0000; +12.0000; +3.0000; +3.0000; +0.0449; +0.0459 
+12.0000; +12.0000; +12.0000; +3.5000; +3.5000; +0.0422; +0.0454 
+12.0000; +12.0000; +12.0000; +4.0000; +4.0000; +0.0385; +0.0522 
+12.0000; +12.0000; +12.0000; +4.5000; +4.5000; +0.0456; +0.0467 
+12.0000; +12.0000; +12.0000; +5.0000; +5.0000; +0.0451; +0.0501 
